#TYPE=CATEGORY
# -- note: you need to keep the header line in here!
%SAFE,%PRETTY,%SORT,%PRODUCTS,%METASTR,%LAYOUT,PAGE_TITLE,META_DESCRIPTION,META_KEYWORDS
.,Homepage,NONE,,GOO=1600,~onlineformals_h_20100913,"2013 Prom Dresses | Prom Gowns | Dresses","Shop Here for you 2013 Authentic Prom Dress.  Free Shipping!  Returns Accepted!","           "
.1,"Homecoming Dresses",PRICE,,CAT_THUMB=C/casablanca&GOO=1540&PGR=1,~onlineformals_c_prodsshowretailprice_20110523,"Homecoming 2013 Dresses","Click Here to shop authentic 2013 Homecoming Dresses!  Free Shipping!  Returns Accepted!",
$2013_homecoming,"2013 Homecoming",NONE,"SHERRIFALL13-21167,SHERRIFALL13-11032,SHERRIFALL13-8443,SHERRIFALL13-3836,SHERRIFALL13-2840,SHERRIFALL13-8520,SHERRIFALL13-8518,SHERRIFALL13-3878,SHERRIFALL13-11028,SHERRIFALL13-2957,SHERRIFALL13-21195,SHERRIFALL13-21002,SHERRIFALL13-21101,SHERRIFALL13-21073,SHERRIFALL13-11045,SHERRIFALL13-21186,SHERRIFALL13-21217,SHERRIFALL13-8528,SHERRIFALL13-21032,SHERRIFALL13-21156,SHERRIFALL13-2220,SHERRIFALL13-21131,SHERRIFALL13-21147,SHERRIFALL13-21154,SHERRIFALL13-21157,SHERRIFALL13-21158,SHERRIFALL13-21168,SHERRIFALL13-21170,SHERRIFALL13-21171,SHERRIFALL13-21184,SHERRIFALL13-21185,SHERRIFALL13-21187,SHERRIFALL13-21188,SHERRIFALL13-21189,SHERRIFALL13-21190,SHERRIFALL13-21192,SHERRIFALL13-21193,SHERRIFALL13-21194,SHERRIFALL13-21196,SHERRIFALL13-1403,SHERRIFALL13-1456,SHERRIFALL13-1539,SHERRIFALL13-1540,SHERRIHILL13-1541,SHERRIFALL13-1591,SHERRIFALL13-1600,SHERRIFALL13-1900,SHERRIFALL13-2415,SHERRIFALL13-2463,SHERRIFALL13-2789,SHERRIFALL13-2813,SHERRIFALL13-2814,SHERRIFALL13-2933,SHERRIFALL13-2934,SHERRIFALL13-2941,SHERRIFALL13-2944,SHERRIFALL13-2956,SHERRIFALL13-2960,SHERRIFALL13-2984,SHERRIFALL13-3802,SHERRIFALL13-3859,SHERRIFALL13-3862,SHERRIFALL13-3867,SHERRIFALL13-3969,SHERRIFALL13-3874,SHERRIFALL13-3885,SHERRIFALL13-8300,SHERRIFALL13-8413,SHERRIFALL13-8437,SHERRIFALL13-8509,SHERRIFALL13-8513,SHERRIFALL13-8514,SHERRIFALL13-8516,SHERRIFALL13-8519,SHERRIFALL13-8521,SHERRIFALL13-8522,SHERRIFALL13-8524,SHERRIFALL13-8525,SHERRIFALL13-8526,SHERRIFALL13-9501,SHERRIFALL13-9601,SHERRIFALL13-9701,SHERRIFALL13-9801,SHERRIFALL13-9802,SHERRIFALL13-9803,SHERRIFALL13-9806,SHERRIFALL13-9808,SHERRIFALL13-21197,SHERRIFALL13-9950,SHERRIFALL13-11022,SHERRIFALL13-11030,SHERRIFALL13-11031,SHERRIFALL13-11033,SHERRIFALL13-11034,SHERRIFALL13-11035,SHERRIFALL13-11036,SHERRIFALL13-11037,SHERRIFALL13-11038,SHERRIFALL13-11039,SHERRIFALL13-11040,SHERRIFALL13-11041,SHERRIFALL13-21199,SHERRIFALL13-11042,SHERRIFALL13-11046,SHERRIFALL13-11047,SHERRIFALL13-21010,SHERRIFALL13-21014,SHERRIFALL13-21017,SHERRIFALL13-21019,SHERRIFALL13-21025,SHERRIFALL13-21200,SHERRIFALL13-21028,SHERRIFALL13-21035,SHERRIFALL13-21036,SHERRIFALL13-21045,SHERRIFALL13-21051,SHERRIFALL13-21053,SHERRIFALL13-21058,SHERRIFALL13-21084,SHERRIFALL13-21203,SHERRIFALL13-21110,SHERRIFALL13-21129,SHERRIFALL13-21205,SHERRIFALL13-21206,SHERRIFALL13-21207,SCALA13FALL-47629,SCALA13FALL-47613,SHERRIFALL13-21208,SHERRIFALL13-21210,SHERRIFALL13-21212,SHERRIFALL13-21213,SHERRIFALL13-21214,SHERRIFALL13-21215,SHERRIFALL13-21219,SHERRIFALL13-21221,SHERRIFALL13-21222,SCALA13FALL-47427,SHERRIFALL13-21223,SHAILKFALL13-KK3110,SHAILKFALL13-KK3138,SHAILKFALL13-KK3157,SHAILKFALL13-KL3200,SHAILKFALL13-KL3201,SHAILKFALL13-KL3202,SHAILKFALL13-KL3203,SHAILKFALL13-KL3204,SHAILKFALL13-KL3205,SHAILKFALL13-KL3206,SHAILKFALL13-KL3207,SHAILKFALL13-KL3209,SHAILKFALL13-KL3210,SHAILKFALL13-KL3211,SHAILKFALL13-KL3212,SHAILKFALL13-KL3214,SHAILKFALL13-KL3216,SHAILKFALL13-KL3217,SHAILKFALL13-KL3218,SHAILKFALL13-KL3221,SHAILKFALL13-KL3222L,SHAILKFALL13-KL3223,SHAILKFALL13-KL3224,SHAILKFALL13-KL3225,SHAILKFALL13-KL3226L,SHAILKFALL13-KL3227,SHAILKFALL13-KL3231,SHAILKFALL13-KL3233,SHAILKFALL13-KL3234,SHAILKFALL13-KL3235L,SHAILKFALL13-KL3239,SHAILKFALL13-KL3240,SHAILKFALL13-KL3241,SHAILKFALL13-KL3242,SHAILKFALL13-KL3243,SHAILKFALL13-KL3245,SHAILKFALL13-KL3246,SHAILKFALL13-KL3247,SHAILKFALL13-KL3248,SHAILKFALL13-KL3249,SHAILKFALL13-KL3837,SHAILKFALL13-KL3838,SHAILKFALL13-KL3839,SHAILKFALL13-SK3166L,SHAILKFALL13-SK3195,SCALA13FALL-47488,SCALA13FALL-47511,SCALA13FALL-47520,SCALA13FALL-47521,SCALA13FALL-47523,SCALA13FALL-47541,SCALA13FALL-47549,SCALA13FALL-47574,SCALA13FALL-47575,SCALA13FALL-47577,SCALA13FALL-47578,SCALA13FALL-47580,SCALA13FALL-47581,SCALA13FALL-47582,SCALA13FALL-47587,SCALA13FALL-47588,SCALA13FALL-47590,SCALA13FALL-47591,SCALA13FALL-47952,SCALA13FALL-47953,SCALA13FALL-47954,SCALA13FALL-47595,SCALA13FALL-47602,SCALA13FALL-47605,SCALA13FALL-47596,SCALA13FALL-47598,SCALA13FALL-47600,SCALA13FALL-47603,SCALA13FALL-47604,SCALA13FALL-47609,SCALA13FALL-47610,SCALA13FALL-47611,SCALA13FALL-47614,SCALA13FALL-47615,SCALA13FALL-47616,SCALA13FALL-47618,SCALA13FALL-47620,SCALA13FALL-47621,SCALA13FALL-47622,SCALA13FALL-47623,SCALA13FALL-47624,SCALA13FALL-47626,SCALA13FALL-47628,SCALA13FALL-47630,LAFEMMEFALL13-15853,LAFEMMEFALL13-15851,LAFEMMEFALL13-16541,LAFEMMEFALL13-16813,LAFEMMEFALL13-17042,LAFEMMEFALL13-17107,LAFEMMEFALL13-17136,LAFEMMEFALL13-17446,LAFEMMEFALL13-17902,LAFEMMEFALL13-17952,LAFEMMEFALL13-17953,LAFEMMEFALL13-18110,LAFEMMEFALL13-18124,LAFEMMEFALL13-18162,LAFEMMEFALL13-18177,LAFEMMEFALL13-18418,LAFEMMEFALL13-18434,LAFEMMEFALL13-18445,LAFEMMEFALL13-18849,LAFEMMEFALL13-18902,LAFEMMEFALL13-18941,LAFEMMEFALL13-18979,LAFEMMEFALL13-19005,LAFEMMEFALL13-19068,LAFEMMEFALL13-19088,LAFEMMEFALL13-19101,LAFEMMEFALL13-19145,SHERRIFALL13-3879,SHERRIFALL13-3880",
.4,"Pageant Gowns",NONE,"SHERRIHILL-2018,MAC13-61041R,MACCOUTURE13-1149D,JOVANI13-944,JOVANI13-6837,JOVANI4426,JOVANI171100,INSTOCK-4247AQUA,JOVANI13-1310,JOVANI13-1339,LAFEMMEEVE13-19036,LAFEMMEEVE13-18951,LAFEMMEEVE13-18944,LAFEMMEEVE13-18664,LAFEMMEEVE13-18032,LAFEMMEEVE13-18021,LAFEMMEEVE13-18700,LAFEMMEEVE13-18583,LAFEMME13-18156,61041R-BLACK",GOO=1600,~onlineformals_c_featprods_20100927,"Pageant Gowns","Couture collections of award winning pageant gowns at a fraction of retail costs.","Pageant, Pageant Gowns, Dress, Sherri Hill, Shandi,Jovani, Red Carpet, Dresses, Beaded, Silk, Train, Chiffon, Alyce, Landa, Precious Formals, Scala, Sherri Hill, Vera Wang, Yearick, Scala, prom, Vera Wang"
.5,Prom,NONE,,GOO=1600,~onlineformals_h_20100913,"Prom 2013 Dresses | Prom 2013 Gowns","Click here for your Authentic 2013 Prom Dress.  We are an Authorized Retailer.  Free Shipping!  Returns Accepted! ",
.5a,"Sale Rack",PRICE,"INSTOCK-173314,INSTOCK-CAPRI,INSTOCK-6614,INSTOCK-47255,INSTOCK-6240,INSTOCK-6240RED,INSTOCK-16859,INSTOCK-7075,INSTOCK-15803,INSTOCK-16039,INSTOCK-28067,INSTOCK-KK3149,INSTOCK-17134,INSTOCK-2328,INSTOCK-158541,INSTOCK-15933,INSTOCK-17496,INSTOCK-HY0537,INSTOCK-6000,INSTOCK-2431,INSTOCK-AL1456,INSTOCK-KK3151,INSTOCK-JP604,INSTOCK-16802WATER,INSTOCK-6203YELLOW,INSTOCK-5406,INSTOCK-158332,INSTOCK-16017,INSTOCK-173312SIZE2,INSTOCK-1799FUCHSIA,INSTOCK-9623,INSTOCK-P151,INSTOCK-18029,INSTOCK-81629S,INSTOCK-6543,INSTOCK-6397L,INSTOCK-48002L,INSTOCK-3705L,INSTOCK-4339,INSTOCK-6666RED,INSTOCK-Q229,INSTOCK-18342,INSTOCK-18414FUCHSIA,INSTOCK-18414TOFF,INSTOCK-6613BLACK,INSTOCK-6613WHITE,INSTOCK-6631,INSTOCK-6631LAV,INSTOCK-3418A,INSTOCK-2782,INSTOCK-3434A,INSTOCK-113738,INSTOCK-158934,INSTOCK-17104,INSTOCK-18332AQUA,INSTOCK-18332CORAL,INSTOCK-18440,INSTOCK-18733,INSTOCK-18806,INSTOCK-18918,INSTOCK-5773PINK,INSTOCK-5821,INSTOCK-6604,INSTOCK-6609PINK,INSTOCK-6611,INSTOCK-6642,INSTOCK-6642FUCHSIA,INSTOCK-6679,INSTOCK-7182,INSTOCK-762,INSTOCK-3434AGOLD,INSTOCK-6273A,INSTOCK-6273ABLACK,INSTOCK-76486A,INSTOCK-VM949,INSTOCK-73022,INSTOCK-2664,INSTOCK-85158A,INSTOCK-18465,INSTOCK-14287,INSTOCK-1597,INSTOCK-18646,INSTOCK-18898,INSTOCK-2892LILAC,INSTOCK-6600,INSTOCK-9032,INSTOCK-1267,INSTOCK-18708,INSTOCK-18951,INSTOCK-302,INSTOCK-7485,INSTOCK-8081,INSTOCK-4343,INSTOCK-530,INSTOCK-6314,INSTOCK-4426,INSTOCK-4426ROYAL,INSTOCK-7749,INSTOCK-946",CAT_THUMB=L/sale&EBAY_CAT=63861&GOO=1600,~onlineformals_c_prodsshowretailprice_20110523,"Onlineformals.com Dresses on Sale","Dresses on sale at Onlineformals.com","Onlineformals.com, sale, discount, bargain, clearance"
.5.shop_by_color,"Shop by Color",,,CAT_THUMB=banners/ofc_shop_dress_color_button.png&GOO=1600,c-20070422,,,
.5.shop_by_color.animal_print,"Animal Print",,"TONYBOWLS13-TBE11316,JASZ13-4891,JASZ13-4921,TERANI13-Y1500,KAYNE13-304,LAFEMME13-18293,LAFALL12-18133,LAFEMME13-16865,PARIS13-113721,FAVIANA13-6521,SHERRIFALL13-21058",GOO=1600,~onlineformals_c_featprods_20100927,,,
.5.shop_by_color.aqua,Aqua,,"NIGHTMOVES13-6609,NIGHTMOVES13-6617,NIGHTMOVES13-6658,NIGHTMOVES13-6665,NIGHTMOVES13-6702,NIGHTMOVES13-6710,NIGHTMOVES13-6711,NIGHTMOVES13-6714,NIGHTMOVES13-6720,NIGHTMOVES13-6726,NIGHTMOVES13-6748,TONYBOWLS13-TBE11301,TONYBOWLS13-TBE11304,TONYBOWLS13-TBE11303,JOVANI13-2125,JOVANI13-1545,JOVANI13-6427,JOVANI13-4243,FAVIANA13-S7146,FAVIANA13-S7149,SHERRIHILL13-1547,SHERRIHILL13-1548,SHERRIHILL13-1554,SHERRIHILL13-1577,SHERRIHILL13-21091,SHERRIHILL13-21103,SHERRIHILL13-21111,SHERRIHILL13-2841,SHERRIHILL13-2972,SHERRIHILL13-2973,SHERRIHILL13-3853,SHERRIHILL12-11018,SHERRIHILL13-11020,SHERRIHILL13-21042,SHERRIHILL13-21008,JASZ13-4872,SHERRIHILL13-21062,JASZ13-4908,SCALA13-P4043,SCALA13-Q4103,JASZ13-4827,JASZ13-4818,SCALA13-47523,TERANI13-P1518,TERANI13-P1528,TERANI13-1538,TERANI13-P677,TERANI13-P1639,TERANI13-P1623,MAC13-6357M,TERANI13-P1572,BABY13-85168B,MAC13-85098M,BABY13-50212B,BABY13-85140B,MACB13-76418H,MACB13-64323H,MACB13-6168H,SHAIL13-3830L,FLASH13-3707L,MACB13-48012H,MACB13-48011H,MACB13-4729H,MACB13-4912H,FLASH13-6234L,FLASH13-64430L,FLASH13-6272L,KAYNE13-104,KAYNE13-268,KAYNE13-269,LAFEMME13-19022,LAFEMME13-19136,LAFEMME13-18365,LAFEMME13-18471,LAFEMME13-18499,LAFEMME13-18532,LAFEMME13-18543,LAFEMME13-18573,LAFEMME13-18574,LAFEMME13-18669,LAFEMME13-18704,LAFEMME13-18737,LAFEMME13-18809,LAFEMME13-18846,LAFEMME13-18848,LAFEMME13-18896,LAFEMME13-18898,LAFEMME13-18910,LAFEMME13-18932,LAFEMME13-18273,LAFEMME13-18286,LAFEMME13-18304,LAFEMME13-18325,LAFEMME13-18342,LAFEMME13-17437,LAFEMME13-18049,LAFEMME13-18172,LAFEMME13-18332,LAFEMME13-16060,MACCOUTURE13-78740D,MACCOUTURE13-85144D,MACCOUTURE13-78736D,PARIS13-113712,PARIS13-113733,PARIS13-113727,LM13-AL1770,LM13-HY0208,LM13-HY0873,LEGALA13-113554,FAVIANA13-6428,FAVIANA13-6564,FAVIANA13-6513,MAC13-64402MAQUA,SHERRIFALL13-1539,SHERRIFALL13-2463,SHERRIFALL13-3836,LAFEMMEFALL13-18941",GOO=1600,~onlineformals_c_featprods_20100927,,,
.5.shop_by_color.black,Black,,"NIGHTMOVES13-6604,NIGHTMOVES13-6607,NIGHTMOVES13-6611,NIGHTMOVES13-6612,NIGHTMOVES13-6625,NIGHTMOVES13-6627,NIGHTMOVES13-6629,NIGHTMOVES13-6630,NIGHTMOVES13-6633,NIGHTMOVES13-6634,NIGHTMOVES13-6637,NIGHTMOVES13-6640,NIGHTMOVES13-6645,NIGHTMOVES13-6646,NIGHTMOVES13-6647,NIGHTMOVES13-6652,NIGHTMOVES13-6653,NIGHTMOVES13-6655,NIGHTMOVES13-6656,NIGHTMOVES13-6662,NIGHTMOVES13-6673,NIGHTMOVES13-6680,NIGHTMOVES13-6685,NIGHTMOVES13-6686,NIGHTMOVES13-6689,NIGHTMOVES13-6699,NIGHTMOVES13-6707,NIGHTMOVES13-6708,NIGHTMOVES13-6709,NIGHTMOVES13-6724,NIGHTMOVES13-6725,NIGHTMOVES13-6730,NIGHTMOVES13-6738,NIGHTMOVES13-6739,NIGHTMOVES13-6746,NIGHTMOVES13-6747,NIGHTMOVES13-6749,JOVANI13-73022,JOVANI13-5908,TONYBOWLS13-TBE11308,TONYBOWLS13-TBE11309,TONYBOWLS13-TBE11315,TONYBOWLS1311330B,TONYBOWLS13-TBE11331,TONYBOWLS13-TBE11332,TONYBOWLS13-TBE11333,JOVANI13-73020,JOVANI13-6433,JOVANI13-1666,JOVANI13-5954,JOVANI13-4486,JOVANI13-6408,JOVANI13-633,JOVANI13-6080,JOVANI13-2218,JOVANI13-1258,JOVANI13-1252,JOVANI13-5913,JOVANI13-1332,JOVANI13-3592,JOVANI13-72788,JOVANI13-7052,JOVANI13-5776,JOVANI13-1441,JOVANI13-5419,JOVANI13-5955,JOVANI13-5125,JOVANI13-7098,JOVANI13-7048,JOVANI13-6595,JOVANI13-5702,JOVANI13-5641,JOVANI13-6403,JOVANI13-7514,JOVANI13-900,JOVANI13-1421,JOVANI13-73042,JOVANI13-2561,JOVANI13-2182,JOVANI13-896,JOVANI13-5317,JOVANI13-6837,JOVANI13-6067,JOVANI13-729,JOVANI13-762,JOVANI13-1566,JOVANI13-668,JOVANI13-6581,JOVANI13-6582,JOVANI13-7078,JOVANI13-1279,JOVANI13-5454,JOVANI13-2255,SHERRIHILL13-21134,SHERRIHILL13-1586,SHERRIHILL13-1592,SHERRIHILL13-21099,SHERRIHILL13-21102,SHERRIHILL13-8501,SHERRIHILL13-11025,SHERRIHILL13-21050,JASZ13-4870,JASZ13-4873,JASZ13-4876,JASZ13-4878,JASZ13-4888,JASZ13-4897,JASZ13-4898,SCALA13-47542,JASZ13-4824,SCALA13-47509,TERANI13-P1506,TERANI13-P1512,TERANI13-P1513,TERANI13-P1521,JASZ13-4606,TERANI13-95220P,TERANI13-P1629,TERANI13-P1628,TERANI13-P1620,TERANI13-P1601,FAVIANA13-S7162,MAC13-61285M,TERANI13-P1569,TERANI13-P1559,MAC13-78522M,BABY13-85088B,BABY13-61289B,BABY13-6453B,TERANI13-P1554,MACB13-81729H,MACB13-6374H,SHAIL13-KK3158L,SHAIL13-SK3168L,SHAIL13-SK3182L,SHAIL13-3610L,SHAIL13-3817S,SHAIL13-3820L,SHAIL13-SK3829L,CASSANDRA13-6273A,CASSANDRA13-76492A,CASSANDRA13-3735A,CASSANDRA13-81818A,CASSANDRA13-6463A,FLASH13-64357L,FLASH13-76377L,FLASH13-76484L,MACCOUTURE13-1180D,MACCOUTURE13-78581D,KAYNE13-105,KAYNE13-208,KAYNE13-245,KAYNE13-250,KAYNE13-257,KAYNE13-516,KAYNE13-310,KAYNE13-312,KAYNE13-315,KAYNE13-316,KAYNE13-322,KAYNE13-325,KAYNE13-334,KAYNE13-342,KAYNE13-349,KAYNE13-351,LAFEMME13-18354,LAFEMME13-18355,LAFEMME13-18366,LAFEMME13-18372,LAFEMME13-18404,LAFEMME13-18407,LAFEMME13-18466,LAFEMME13-18449,LAFEMME13-18489,LAFEMME13-18510,LAFEMME13-18446,LAFEMME13-18558,LAFEMME13-18566,LAFEMME13-18699,LAFEMME13-18729,LAFEMME13-18761,LAFEMME13-18798,GIGI13-18805,GIGI13-18806,LAFEMME13-18928,LAFEMME13-18931,LAFEMME13-18934,LAFEMME13-18589,LAFEMME13-18199,LAFEMME13-18226,LAFEMME13-18296,LAFEMME13-18256,LAFEMMEEVE13-18974,LAFEMME13-18263,LAFEMME13-17752,LAFEMME13-18331,LAFEMME13-17506,LAFEMME13-17713,LAFEMME13-17728,LAFEMME13-17151,LAFEMME13-17156,GIGI13-17592,LAFEMME13-16711,MIGNON13-VM959,LAFEMME13-16905,MACCOUTURE13-61089D,MACCOUTURE13-42588D,MACCOUTURE13-50093D,61041R-BLACK,PARIS13-113731,PARIS13-113736,PARIS13-113737,PARIS13-113738,PARIS13-113739,PARIS13-113740,PARIS13-113744,LEGALA13-113517,PARIS13-113752,LEGALA13-113521,LEGALA13-113523,LM13-HY0619,LEGALA13-113533,LEGALA13-113535,LEGALA13-113547,FAVIANA13-6902,JOVANI13-683,SHERRIFALL13-2814,SHERRIFALL13-1540,SHERRIFALL13-21045,SHERRIFALL13-21168,LAFEMMEFALL13-15851",GOO=1600,~onlineformals_c_featprods_20100927,,,
